GPST,Latitude,Longitude,Height
2024/02/14 04:20:52.00,27.682039784,85.319256756,1254.3182
2024/02/14 04:20:53.00,27.682038257,85.319261792,1265.9802
2024/02/14 04:20:54.00,27.682063974,85.319259138,1274.5806
2024/02/14 04:20:55.00,27.682037009,85.319207746,1266.37
2024/02/14 04:20:56.00,27.682046872,85.319248988,1264.6821
2024/02/14 04:20:57.00,27.682029925,85.319222428,1269.0278
2024/02/14 04:20:58.00,27.682066934,85.319241668,1271.9888
2024/02/14 04:20:59.00,27.68196152,85.319196047,1249.6715
2024/02/14 04:21:00.00,27.681985715,85.319192258,1260.1063
2024/02/14 04:21:01.00,27.681988443,85.319248654,1257.5679
2024/02/14 04:21:02.00,27.682028869,85.31920491,1267.3093
2024/02/14 04:21:03.00,27.682023616,85.319241961,1267.9062
2024/02/14 04:21:04.00,27.682027281,85.319226826,1264.7795
2024/02/14 04:21:05.00,27.681988541,85.319225357,1254.6191
2024/02/14 04:21:06.00,27.682025726,85.319266095,1256.4418
2024/02/14 04:21:07.00,27.682053847,85.319241508,1263.2466
2024/02/14 04:21:08.00,27.682015477,85.319226675,1256.8687
2024/02/14 04:21:09.00,27.681988413,85.319231154,1254.3243
2024/02/14 04:21:10.00,27.681949366,85.319215806,1246.6749
2024/02/14 04:21:11.00,27.682009633,85.319243347,1260.3462
2024/02/14 04:21:12.00,27.682054456,85.319241065,1264.6391
2024/02/14 04:21:13.00,27.682014222,85.319213513,1263.4821
2024/02/14 04:21:14.00,27.682010042,85.319235969,1257.6172
2024/02/14 04:21:15.00,27.682046345,85.319257044,1266.1473
2024/02/14 04:21:16.00,27.681984628,85.319214485,1260.4172
2024/02/14 04:21:17.00,27.681959029,85.319197597,1242.5388
2024/02/14 04:21:18.00,27.68206395,85.319246795,1266.2782
2024/02/14 04:21:19.00,27.682031875,85.31925452,1254.1369
2024/02/14 04:21:20.00,27.682024274,85.319237006,1258.6794
2024/02/14 04:21:21.00,27.682020002,85.319222812,1267.3216
