GPST,x_x,y_x,z_x,ns,sdx(m),sdy(m),sdz(m)
2023/12/06 09:08:39.00,459319.1399,5634089.1682,2947004.1598,10.0,2.7633,7.8922,5.1265
2023/12/06 09:08:40.00,459319.866,5634092.8787,2946997.6043,11.0,2.7529,7.7645,5.0847
2023/12/06 09:08:41.00,459322.9347,5634097.959,2946996.0951,11.0,2.7529,7.7647,5.0852
2023/12/06 09:08:42.00,459326.0814,5634093.9355,2946992.3384,11.0,2.7528,7.7649,5.0857
2023/12/06 09:08:43.00,459327.9592,5634094.0785,2946985.9535,9.0,3.1085,7.7761,5.1088
2023/12/06 09:08:44.00,459324.1245,5634093.4052,2946978.0417,9.0,3.1084,7.7763,5.1093
2023/12/06 09:08:45.00,459324.8372,5634098.5322,2946976.1446,12.0,2.3743,6.4133,4.033
2023/12/06 09:08:46.00,459327.0645,5634101.0065,2946976.5342,11.0,2.7526,7.7657,5.0877
2023/12/06 09:08:47.00,459328.9457,5634099.0758,2946972.2749,11.0,2.7525,7.7659,5.0882
2023/12/06 09:08:48.00,459331.2496,5634098.2143,2946969.3361,10.0,2.9117,7.7612,4.9081
2023/12/06 09:08:49.00,459333.0763,5634090.8867,2946967.4636,11.0,3.8377,10.2747,4.8862
2023/12/06 09:08:50.00,459329.8263,5634104.2734,2946966.6896,11.0,2.7699,7.7489,4.856
2023/12/06 09:08:51.00,459330.5115,5634096.041,2946955.4454,12.0,2.6378,7.7481,4.8516
2023/12/06 09:08:52.00,459333.0708,5634104.4483,2946955.6644,13.0,2.3341,6.3817,3.9653
2023/12/06 09:08:53.00,459335.6975,5634114.4522,2946958.2512,13.0,2.3341,6.3818,3.9655
2023/12/06 09:08:54.00,459330.4842,5634112.5004,2946946.3388,12.0,2.4101,6.4638,4.3999
2023/12/06 09:08:55.00,459333.551,5634110.2824,2946945.0339,12.0,2.3738,6.4142,4.0359
2023/12/06 09:08:56.00,459329.9248,5634094.2631,2946924.7761,10.0,3.6402,9.5081,7.906
2023/12/06 09:08:57.00,459336.5002,5634110.9963,2946935.5323,11.0,2.7269,7.7628,4.8978
2023/12/06 09:08:58.00,459335.587,5634105.1962,2946926.7362,10.0,2.9103,7.7631,4.9119
2023/12/06 09:08:59.00,459339.5778,5634119.5477,2946928.7177,11.0,2.5206,6.4891,4.1624
2023/12/06 09:09:00.00,459337.6843,5634120.352,2946924.5005,11.0,2.5205,6.4892,4.1626
2023/12/06 09:09:01.00,459336.5592,5634121.293,2946920.7134,13.0,2.3336,6.3825,3.9676
2023/12/06 09:09:02.00,459336.0105,5634123.5387,2946918.4952,13.0,2.3336,6.3826,3.9678
2023/12/06 09:09:03.00,459338.0524,5634124.6355,2946914.8587,13.0,2.3335,6.3827,3.9681
2023/12/06 09:09:04.00,459338.1378,5634127.0975,2946912.783,13.0,2.3335,6.3828,3.9683
2023/12/06 09:09:05.00,459338.2201,5634112.9281,2946909.8824,11.0,3.8363,10.2756,4.8924
2023/12/06 09:09:06.00,459339.5538,5634114.7611,2946907.0213,11.0,3.8362,10.2757,4.8928
2023/12/06 09:09:07.00,459340.2381,5634118.3782,2946905.8719,12.0,2.6366,7.751,4.8579
2023/12/06 09:09:08.00,459342.8829,5634116.6923,2946905.4889,11.0,2.6616,7.8913,4.8746
2023/12/06 09:09:09.00,459346.633,5634115.229,2946907.3436,12.0,2.346,6.1735,3.8903
2023/12/06 09:09:10.00,459350.0615,5634118.0572,2946909.472,11.0,2.3777,6.2504,3.9782
2023/12/06 09:09:11.00,459352.8138,5634121.2059,2946907.0949,12.0,2.3653,6.0832,3.9248
2023/12/06 09:09:12.00,459356.0243,5634125.543,2946905.9146,11.0,2.751,7.7707,5.1008
2023/12/06 09:09:13.00,459356.4951,5634124.6582,2946900.0348,11.0,2.7509,7.7709,5.1013
2023/12/06 09:09:14.00,459355.3761,5634126.7903,2946893.1597,11.0,2.9018,7.8232,5.0393
2023/12/06 09:09:15.00,459355.0639,5634131.2972,2946890.8706,11.0,2.9016,7.8234,5.0397
2023/12/06 09:09:16.00,459359.8206,5634127.4492,2946887.0564,11.0,6.5564,12.1953,4.4408
2023/12/06 09:09:17.00,459355.9294,5634135.7797,2946885.1073,12.0,2.6408,6.1037,4.0496
2023/12/06 09:09:18.00,459359.7976,5634129.2874,2946879.6593,12.0,2.3932,6.0751,4.2363
2023/12/06 09:09:19.00,459364.0907,5634136.5697,2946885.0892,13.0,2.3242,6.0388,3.8587
2023/12/06 09:09:20.00,459365.2186,5634144.2494,2946881.3664,9.0,3.1042,7.7834,5.1269
2023/12/06 09:09:21.00,459361.5058,5634138.8166,2946869.4867,11.0,2.7669,7.7544,4.8682
2023/12/06 09:09:22.00,459366.0706,5634139.436,2946865.0038,11.0,2.5138,6.1625,4.0617
2023/12/06 09:09:23.00,459365.6294,5634147.8387,2946862.8738,13.0,2.324,6.0391,3.8597
2023/12/06 09:09:24.00,459366.8917,5634145.3607,2946858.8922,12.0,2.6354,7.7539,4.8647
2023/12/06 09:09:25.00,459372.5039,5634145.1842,2946861.7281,11.0,3.8345,10.2767,4.9001
