GPST,x_y,y_y,z_y
2023/12/06 02:08:29.99,459357.3297,5634123.9813,2946827.0111
2023/12/06 02:08:30.99,459357.2337,5634136.4021,2946827.1341
2023/12/06 02:08:31.99,459363.2484,5634129.5292,2946819.8016
2023/12/06 02:08:32.99,459361.9587,5634140.6427,2946821.7535
2023/12/06 02:08:33.99,459367.8745,5634131.0835,2946816.1742
2023/12/06 02:08:34.99,459364.9286,5634144.2762,2946814.4239
2023/12/06 02:08:35.99,459372.6861,5634138.53,2946809.1392
2023/12/06 02:08:36.99,459369.5405,5634135.6467,2946802.7428
2023/12/06 02:08:37.99,459370.5031,5634153.7261,2946803.7364
2023/12/06 02:08:38.99,459373.1988,5634143.1119,2946795.7401
2023/12/06 02:08:40.99,459380.758,5634151.8652,2946792.8979
2023/12/06 02:08:45.99,459373.2541,5634161.3041,2946784.9388
2023/12/06 02:08:47.99,459371.2402,5634153.1404,2946780.6278
2023/12/06 02:08:48.99,459366.6953,5634164.5835,2946782.6911
2023/12/06 02:08:49.99,459363.4993,5634163.4854,2946782.1544
2023/12/06 02:08:50.99,459359.537,5634164.7815,2946778.8464
2023/12/06 02:08:51.99,459361.7244,5634150.6015,2946777.8883
2023/12/06 02:08:52.99,459359.053,5634151.871,2946775.9339
2023/12/06 02:08:53.99,459358.4492,5634158.0727,2946772.9169
2023/12/06 02:08:54.99,459358.2227,5634159.8139,2946769.4272
2023/12/06 02:08:55.99,459350.9752,5634181.9409,2946772.6167
2023/12/06 02:08:56.99,459358.3657,5634159.013,2946762.4589
2023/12/06 02:08:57.99,459352.2055,5634172.1492,2946758.7751
2023/12/06 02:08:58.99,459352.8934,5634173.9723,2946755.1029
2023/12/06 02:08:59.99,459362.109,5634169.172,2946752.1613
2023/12/06 02:09:00.99,459360.6376,5634185.9535,2946751.4744
2023/12/06 02:09:01.99,459363.3957,5634171.2578,2946745.2784
2023/12/06 02:09:02.99,459360.5404,5634171.1157,2946738.3281
2023/12/06 02:09:03.99,459357.0407,5634165.6378,2946734.9872
2023/12/06 02:09:04.99,459362.4161,5634171.0946,2946734.2685
2023/12/06 02:09:05.99,459358.4865,5634169.116,2946728.1603
2023/12/06 02:09:06.99,459364.034,5634174.8978,2946726.7446
2023/12/06 02:09:07.99,459364.9439,5634180.0062,2946721.5119
2023/12/06 02:09:08.99,459365.819,5634181.8391,2946717.8821
2023/12/06 02:09:09.99,459366.6235,5634183.5364,2946714.2699
2023/12/06 02:09:10.99,459367.3281,5634185.2392,2946710.8206
2023/12/06 02:09:11.99,459368.1148,5634186.9414,2946707.4525
2023/12/06 02:09:12.99,459372.2253,5634190.1563,2946707.648
2023/12/06 02:09:13.99,459372.9846,5634191.8417,2946704.2361
2023/12/06 02:09:14.99,459371.9204,5634193.7229,2946699.4627
2023/12/06 02:09:15.99,459370.4454,5634193.4546,2946693.1847
2023/12/06 02:09:16.99,459375.3406,5634197.2302,2946694.4115
2023/12/06 02:09:17.99,459373.2284,5634198.1323,2946688.3037
2023/12/06 02:09:18.99,459374.1584,5634200.5081,2946685.4319
2023/12/06 02:09:19.99,459376.7303,5634202.4207,2946683.4414
2023/12/06 02:09:20.99,459374.3619,5634202.5179,2946676.5084
2023/12/06 02:09:21.99,459378.4904,5634205.7963,2946676.6584
2023/12/06 02:09:22.99,459379.3078,5634207.6514,2946673.2611
2023/12/06 02:09:23.99,459380.1067,5634209.3764,2946669.8051
2023/12/06 02:09:24.99,459379.6617,5634206.7301,2946666.299
2023/12/06 02:09:25.99,459381.5272,5634212.8035,2946662.8454
2023/12/06 02:09:26.99,459374.2808,5634221.9512,2946659.0863
2023/12/06 02:09:27.99,459383.3384,5634217.1336,2946654.645
2023/12/06 02:09:28.99,459384.4584,5634219.5886,2946649.769
2023/12/06 02:09:29.99,459384.5944,5634217.8559,2946644.5145
2023/12/06 02:09:30.99,459386.0187,5634220.6119,2946638.8613
2023/12/06 02:09:32.99,459389.8734,5634230.7496,2946626.7856
2023/12/06 02:09:33.99,459391.084,5634233.9289,2946620.3938
2023/12/06 02:09:34.99,459392.4102,5634237.3808,2946613.8503
2023/12/06 02:09:35.99,459393.8966,5634240.5062,2946607.4242
